"PÉRIODE DE RÉFÉRENCE","GÉO","VALEUR"
"Apr-56","Île-du-Prince-Édouard","99000"
"Apr-56","Nouvelle-Écosse","693000"
"Apr-56","Nouveau-Brunswick","553000"
"Apr-56","Québec","4606000"
"Apr-56","Ontario","5375000"
"Apr-56","Manitoba","848000"
"Apr-56","Saskatchewan","879000"
"Apr-56","Alberta","1118000"
"Apr-56","Colombie-Britannique","1388000"
"Apr-56","Yukon","12000"
"Apr-56","Territoires du Nord-Ouest incluant Nunavut","19000"
"Jul-56","Canada","16123000"
"Jul-56","Terre-Neuve-et-Labrador","416000"
"Jul-56","Île-du-Prince-Édouard","99000"
"Jul-56","Nouvelle-Écosse","695000"
"Jul-56","Nouveau-Brunswick","556000"
"Jul-56","Québec","4641000"
"Jul-56","Ontario","5423000"
"Jul-56","Manitoba","850000"
"Jul-56","Saskatchewan","881000"
"Jul-56","Alberta","1126000"
"Jul-56","Colombie-Britannique","1405000"
"Jul-56","Yukon","12000"
"Jul-56","Territoires du Nord-Ouest incluant Nunavut","19000"
"Oct-56","Canada","16235000"
"Oct-56","Terre-Neuve-et-Labrador","418000"
"Oct-56","Île-du-Prince-Édouard","99000"
"Oct-56","Nouvelle-Écosse","695000"
"Oct-56","Nouveau-Brunswick","557000"
"Oct-56","Québec","4671000"
"Oct-56","Ontario","5470000"
"Oct-56","Manitoba","852000"
"Oct-56","Saskatchewan","880000"
"Oct-56","Alberta","1136000"
"Oct-56","Colombie-Britannique","1426000"
"Oct-56","Yukon","12000"
"Oct-56","Territoires du Nord-Ouest incluant Nunavut","19000"
"Jan-57","Canada","16352000"
"Jan-57","Terre-Neuve-et-Labrador","420000"
"Jan-57","Île-du-Prince-Édouard","99000"
"Jan-57","Nouvelle-Écosse","695000"
"Jan-57","Nouveau-Brunswick","558000"
"Jan-57","Québec","4702000"
"Jan-57","Ontario","5529000"
"Jan-57","Manitoba","851000"
"Jan-57","Saskatchewan","874000"
